"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre","profit_ratio","decade","distributor_top7","md","month_day"
"173",2009-06-12,"The Taking of Pelham 123",1.1e+08,65452312,152364370,"Sony Pictures","R","Action",1.38513063636364,2000,"Sony Pictures",163,"Jun-12"
"174",2013-11-01,"Ender's Game",1.1e+08,61737191,127983283,"Lionsgate","PG-13","Adventure",1.16348439090909,2010,"Lionsgate",305,"Nov-1"
"175",2004-04-02,"Home on the Range",1.1e+08,50026353,76482461,"Walt Disney","PG","Adventure",0.6952951,2000,"Walt Disney",93,"Apr-2"
"176",1997-06-13,"Speed 2: Cruise Control",1.1e+08,48097081,150468000,"20th Century Fox","PG-13","Action",1.36789090909091,1990,"20th Century Fox",164,"Jun-13"
"177",2005-05-06,"Kingdom of Heaven",1.1e+08,47398413,218853353,"20th Century Fox","R","Adventure",1.98957593636364,2000,"20th Century Fox",126,"May-6"
"178",2017-03-31,"Ghost in the Shell",1.1e+08,40563557,167918847,"Paramount Pictures","PG-13","Action",1.52653497272727,2010,"Paramount Pictures",90,"Mar-31"
"179",2003-11-21,"The Cat in the Hat",1.09e+08,101018283,133818283,"Universal","PG","Adventure",1.22769066972477,2000,"Universal",325,"Nov-21"
"180",2001-12-25,"Ali",1.09e+08,58183966,87683966,"Sony Pictures","R","Drama",0.804440055045872,2000,"Sony Pictures",359,"Dec-25"
"181",2016-11-23,"Allied",1.06e+08,40098064,119285656,"Paramount Pictures","R","Drama",1.12533637735849,2010,"Paramount Pictures",328,"Nov-23"
"182",2004-07-16,"I, Robot",1.05e+08,144801023,348629585,"20th Century Fox","PG-13","Action",3.32028176190476,2000,"20th Century Fox",198,"Jul-16"
"183",1999-12-17,"Stuart Little",1.05e+08,140015224,298815224,"Sony Pictures","PG","Adventure",2.84585927619048,1990,"Sony Pictures",351,"Dec-17"
"184",2009-11-25,"The Princess and the Frog",1.05e+08,104400899,270997378,"Walt Disney","G","Adventure",2.58092740952381,2000,"Walt Disney",329,"Nov-25"
"185",2008-03-07,"10,000 B.C.",1.05e+08,94784201,269065678,"Warner Bros.","PG-13","Adventure",2.56253026666667,2000,"Warner Bros.",67,"Mar-7"
"186",2016-07-22,"Ice Age: Collision Course",1.05e+08,64063008,403092412,"20th Century Fox","PG","Adventure",3.83897535238095,2010,"20th Century Fox",204,"Jul-22"
"187",2017-09-22,"Kingsman: The Golden Circle",1.04e+08,100234838,408822328,"20th Century Fox","R","Action",3.93098392307692,2010,"20th Century Fox",265,"Sep-22"
"188",2000-06-09,"Gone in 60 Seconds",103300000,101643008,232643008,"Walt Disney","PG-13","Action",2.25211043562439,2000,"Walt Disney",161,"Jun-9"
"189",2013-05-23,"The Hangover 3",1.03e+08,112200072,362000072,"Warner Bros.","R","Comedy",3.51456380582524,2010,"Warner Bros.",143,"May-23"
"190",2018-03-09,"A Wrinkle in Time",1.03e+08,100478608,133401882,"Walt Disney","PG","Adventure",1.29516390291262,2010,"Walt Disney",68,"Mar-9"
"191",2009-07-01,"Public Enemies",102500000,97104620,212282709,"Universal","R","Drama",2.0710508195122,2000,"Universal",182,"Jul-1"
"192",2006-11-17,"Casino Royale",1.02e+08,167365000,594420283,"Sony Pictures","PG-13","Action",5.82764983333333,2000,"Sony Pictures",321,"Nov-17"
"193",2002-06-21,"Minority Report",1.02e+08,132024714,358824714,"20th Century Fox","PG-13","Action",3.51788935294118,2000,"20th Century Fox",172,"Jun-21"
"194",2012-10-26,"Cloud Atlas",1.02e+08,27108272,130673154,"Warner Bros.","R","Drama",1.28110935294118,2010,"Warner Bros.",300,"Oct-26"
"195",1991-07-02,"Terminator 2: Judgment Day",1e+08,203464105,515419827,"Sony Pictures","R","Action",5.15419827,1990,"Sony Pictures",183,"Jul-2"
"196",1995-06-16,"Batman Forever",1e+08,184031112,336529144,"Warner Bros.","PG-13","Action",3.36529144,1990,"Warner Bros.",167,"Jun-16"
"197",2001-07-27,"Planet of the Apes",1e+08,180011740,362211740,"20th Century Fox","PG-13","Adventure",3.6221174,2000,"20th Century Fox",208,"Jul-27"
"198",2004-11-19,"National Treasure",1e+08,173005002,331323410,"Walt Disney","PG","Adventure",3.3132341,2000,"Walt Disney",324,"Nov-19"
"199",2018-10-05,"Venom",1e+08,171125095,461825095,"Sony Pictures","PG-13","Action",4.61825095,2010,"Sony Pictures",278,"Oct-5"
"200",2010-12-22,"Little Fockers",1e+08,148438600,310650574,"Universal","PG-13","Comedy",3.10650574,2010,"Universal",356,"Dec-22"
"201",1994-07-15,"True Lies",1e+08,146282411,365300000,"20th Century Fox","R","Action",3.653,1990,"20th Century Fox",196,"Jul-15"
"202",2007-11-02,"American Gangster",1e+08,130164645,267985456,"Universal","R","Drama",2.67985456,2000,"Universal",306,"Nov-2"
